Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
UVSP,Univest Financial Corp.,26.1,0.031,765,11.6,0.35700000000000004,0.8,7.8
UVV,Universal Corp.,54.68,0.055,1365,14.8,0.8140000000000001,0.4,9.4
VBTX,"Veritex Holdings, Inc.",24.85,0.01,1329,17.6,0.177,1.0,4.6
VC,Visteon Corp.,76.88,0.0,2149,26.3,0.0,1.5,17.1
VEC,"Vectrus, Inc.",41.0,0.0,472,13.4,0.0,1.0,9.8
VG,Vonage Holdings Corp.,12.23,0.0,2961,444.7,0.0,1.3,212.3
VGR,Vector Group Ltd.,11.31,0.132,1672,21.2,2.782,0.7,9.1
VIAV,"Viavi Solutions, Inc.",14.66,0.0,3355,631.9,0.0,1.1,44.4
VICR,Vicor Corp.,31.11,0.0,1253,47.0,0.0,1.8,42.4
VIVO,"Meridian Bioscience, Inc.",9.87,0.0,422,16.3,0.0,0.5,12.1
VLGEA,"Village Super Market, Inc.",25.83,0.039,372,13.5,0.522,0.5,6.6
VLY,Valley National Bancorp,10.98,0.04,3643,11.3,0.454,0.9,6.8
VNDA,"Vanda Pharmaceuticals, Inc.",13.21,0.0,704,24.5,0.0,1.2,20.1
VPG,"Vishay Precision Group, Inc.",34.88,0.0,472,19.0,0.0,1.1,9.8
VRA,"Vera Bradley, Inc.",9.76,0.0,332,20.8,0.0,0.8,7.1
VREX,Varex Imaging Corp.,28.64,0.0,1100,143.7,0.0,1.2,43.7
VRNT,"Verint Systems, Inc.",45.08,0.0,3010,50.5,0.0,1.0,31.8
VRS,Verso Corp.,11.97,0.0,412,4.3,0.0,1.3,3.4
VRTU,Virtusa Corp.,38.75,0.0,1172,48.5,0.0,1.3,20.8
VSEC,VSE Corp.,34.14,0.01,375,10.4,0.101,1.1,11.2
VSH,"Vishay Intertechnology, Inc.",17.28,0.02,2496,8.3,0.168,1.5,4.7
VVI,Viad Corp.,67.02,0.006,1361,44.7,0.267,0.9,30.9
WAFD,"Washington Federal, Inc.",37.49,0.02,2977,14.6,0.29600000000000004,0.8,7.9
WAIR,"Wesco Aircraft Holdings, Inc.",10.97,0.0,1094,26.0,0.0,1.0,19.3
WASH,"Washington Trust Bancorp, Inc.",49.45,0.038,857,12.4,0.47,0.7,5.3
WBT,"Welbilt, Inc.",16.87,0.0,2380,34.6,0.0,1.0,20.1
WD,"Walker & Dunlop, Inc.",56.49,0.019,1736,10.2,0.198,1.1,8.1
WDR,"Waddell & Reed Financial, Inc.",17.19,0.058,1256,8.4,0.487,1.1,1.9
WERN,"Werner Enterprises, Inc.",34.36,0.01,2378,13.4,0.14,1.0,10.6
WETF,"WisdomTree Investments, Inc.",5.57,0.022,864,45.1,0.971,1.2,24.1
